Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,LatitudeUTM,LongitudeUTM,Lat,Lon,Region
Glen Scotia,2,2,2,2,0,1,0,1,2,2,1,1,PA28 6DS,172090,621010,55.42968,-5.6038,Highland
Glen Spey,1,3,1,0,0,0,1,1,1,2,0,2,AB38 7AU,327760,849140,57.52641,-3.2078,Speyside
Glenallachie,1,3,1,0,0,1,1,0,1,2,2,2,AB38 9LR,326490,841240,57.45585,-3.22752,Speyside
Glendronach,4,2,2,0,0,2,1,4,2,2,2,0,AB54 6DA,361200,844930,57.49283,-2.64914,Highland
Glendullan,3,2,1,0,0,2,1,2,1,2,3,2,AB55 4DJ,333000,840300,57.4479,-3.11838,Speyside
Glenfarclas,2,4,1,0,0,1,2,3,2,3,2,2,AB37 9BD,320950,838160,57.42675,-3.31821,Highland
Glenfiddich,1,3,1,0,0,0,0,0,0,2,2,2,AB55 4DH,332680,840840,57.45487,-3.12794,Speyside
Glengoyne,1,2,0,0,0,1,1,1,2,2,3,2,G63 9LB,252810,682750,56.01494,-4.36304,Highland
Glenkinchie,1,2,1,0,0,1,2,0,0,2,2,2,EH34 5ET,344380,666690,55.88999,-2.89126,Lowland
Glenlivet,2,3,1,0,0,2,2,2,1,2,2,3,AB37 9DB,319560,828780,57.34334,-3.33872,Speyside
Glenlossie,1,2,1,0,0,1,2,0,1,2,2,2,IV30 3SS,322640,861040,57.5987,-3.3193,Speyside
Glenmorangie,2,2,1,1,0,1,2,0,2,1,2,2,IV19 1PZ,276750,883450,57.82409,-4.07611,Highland
Glenrothes,2,3,1,0,0,1,1,2,1,2,2,0,AB38 7AA,327650,849170,57.52667,-3.21031,Speyside
Glenturret,2,3,1,0,0,2,2,2,2,2,1,2,PH7 4HA,285630,723580,56.39106,-3.85522,Highland
Highland Park,2,2,3,1,0,2,1,1,1,2,1,1,KW15 1SU,345340,1009260,58.96712,-2.9521,Highland
Inchgower,1,3,1,1,0,2,2,0,1,2,1,2,AB56 5AB,342610,863970,57.66182,-2.96389,Speyside
Isle of Jura,2,1,2,2,0,1,1,0,2,1,1,1,PA60 7XT,152660,667040,55.83279,-5.95153,Islay & Islands
Knochando,2,3,1,0,0,2,2,1,2,1,2,2,AB38 7RT,319470,841570,57.45713,-3.34417,Speyside
Lagavulin,4,1,4,4,1,0,1,2,1,1,1,0,PA42 7DZ,140430,645730,55.6358,-6.12593,Islay & Islands
Laphroig,4,2,4,4,1,0,0,1,1,1,0,0,PA42 7DU,138680,645160,55.62982,-6.15357,Islay & Islands
Linkwood,2,3,1,0,0,1,1,2,0,1,3,2,IV30 8RD,322640,861040,57.62935,-3.28271,Speyside
Loch Lomond,1,1,1,1,0,1,1,0,1,2,1,2,G83 0TL,239370,680920,55.99357,-4.57683,Highland
Longmorn,3,2,1,0,0,1,1,1,3,3,2,3,IV30 8SA,322640,861040,57.60821,-3.28817,Speyside
Macallan,4,3,1,0,0,2,1,4,2,2,3,1,AB38 9RX,327710,844480,57.48465,-3.20696,Speyside
Mannochmore,2,1,1,0,0,1,1,1,2,1,2,2,IV30 8GY,322640,861040,57.60102,-3.31835,Speyside
Miltonduff,2,4,1,0,0,1,0,0,2,1,1,2,IV30 8TQ,322640,861040,57.62307,-3.3696,Speyside
Mortlach,3,2,2,0,0,2,3,3,2,1,2,2,AB55 4AQ,332950,839850,57.4439,-3.11907,Speyside
Oban,2,2,2,2,0,0,2,0,2,2,2,0,PA34 5NH,185940,730190,56.41514,-5.47207,Highland
Old Fettercairn,1,2,2,0,1,2,2,1,2,3,1,1,AB30 1YB,370860,772900,56.85355,-2.57861,Highland
Old Pulteney,2,1,2,2,1,0,1,1,2,2,2,2,KW1 5BA,336730,950130,58.43517,-3.08553,Highland
Royal Brackla,2,3,2,1,1,1,2,1,0,2,3,2,IV12 5QY,286040,851320,57.53748,-3.90547,Speyside
Royal Lochnagar,3,2,2,0,0,2,2,2,2,2,3,1,AB35 5TB,326140,794370,57.03439,-3.21894,Highland
Scapa,2,2,1,1,0,2,1,1,2,2,2,2,KW15 1SE,342850,1008930,58.96366,-2.9958,Islay & Islands
Speyburn,2,4,1,0,0,2,1,0,0,2,1,2,AB38 7AG,326930,851430,57.54612,-3.22013,Speyside
Speyside,2,2,1,0,0,1,0,1,2,2,2,2,PH21 1NS,278740,800600,57.07695,-4.01119,Speyside
Springbank,2,2,2,2,0,2,2,1,2,1,0,1,PA28 6EJ,172280,620910,55.42889,-5.60136,Highland
Strathisla,2,2,1,0,0,2,2,2,3,3,3,2,AB55 5BS,340754,848623,57.5465,-2.95425,Speyside
Strathmill,2,3,1,0,0,0,2,0,2,1,3,2,AB55 5DQ,342650,850500,57.54087,-2.96,Speyside
Talisker,4,2,3,3,0,1,3,0,1,2,2,0,IV47 8SR,137950,831770,57.30096,-6.35242,Islay & Islands
Tamdhu,1,2,1,0,0,2,0,1,1,2,2,2,AB38 7RP,319210,841760,57.45815,-3.34826,Speyside
Tamnavulin,1,3,2,0,0,0,2,0,2,1,2,3,AB37 9JA,321180,826110,57.31895,-3.31121,Speyside
Teaninich,2,2,2,1,0,0,2,0,0,0,2,2,IV17 0XB,265360,869120,57.69148,-4.26074,Highland
Tobermory,1,1,1,0,0,1,0,0,1,2,2,2,PA75 6NR,150450,755070,56.62073,-6.0698,Highland
Tomatin,2,3,2,0,0,2,2,1,1,2,0,1,IV13 7YT,279120,829630,57.341,-4.01028,Highland
Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2,AB37 9AQ,315100,825560,57.31249,-3.41212,Speyside
Tormore,2,2,1,0,0,1,0,1,2,1,0,0,PH26 3LR,315180,834960,57.39697,-3.41337,Speyside
Tullibardine,2,3,0,0,1,0,2,1,1,2,2,1,PH4 1QG,289690,708850,56.25916,-3.78256,Highland
